Date,Close/Last,Volume,Open,High,Low
07/14/2021,3.7893,N/A,3.6605,3.9145,3.7389
07/13/2021,3.6427,N/A,4.1572,3.924,3.6147
07/12/2021,4.1604,N/A,4.338,4.2113,4.1061
07/11/2021,4.3447,N/A,3.8646,4.3727,4.0439
07/10/2021,3.868,N/A,4.115,4.0186,3.8656
07/09/2021,4.1257,N/A,3.5827,4.4168,4.0668
07/08/2021,3.5824,N/A,3.7106,3.5924,3.5497
07/07/2021,3.7117,N/A,3.9338,3.8393,3.6725
07/06/2021,3.9317,N/A,3.8645,3.9403,3.8386
07/05/2021,3.8584,N/A,3.9702,3.9008,3.8027
07/04/2021,3.9637,N/A,4.0411,4.0623,3.9571
07/03/2021,4.0414,N/A,3.8227,4.0636,3.8537
07/02/2021,3.8637,N/A,3.7953,3.9269,3.8537
07/01/2021,3.8026,N/A,4.0416,3.9947,3.8003
06/30/2021,4.0501,N/A,4.056,4.2064,4.0419
06/29/2021,4.0771,N/A,3.9138,4.2992,4.0656
06/28/2021,3.9078,N/A,3.7329,3.9845,3.8409
06/27/2021,3.7359,N/A,3.6271,3.8004,3.73
06/26/2021,3.638,N/A,3.575,3.6501,3.5426
06/25/2021,3.5866,N/A,3.9679,3.6252,3.5016
06/24/2021,3.9627,N/A,3.6328,4.0206,3.8423
06/23/2021,3.5961,N/A,3.6602,3.7258,3.5208
06/22/2021,3.652,N/A,3.7221,3.7013,3.2549
06/21/2021,3.734,N/A,4.3098,3.7597,3.3628
06/20/2021,4.3193,N/A,4.4401,4.521,4.3193
06/19/2021,4.4515,N/A,4.4985,4.4675,4.3534
06/18/2021,4.4754,N/A,4.8251,4.6205,4.4711
06/17/2021,4.8365,N/A,5.0242,4.8735,4.731
06/16/2021,5.0181,N/A,5.1483,5.0243,4.8461
06/15/2021,5.1561,N/A,5.2645,5.1844,5.0501
06/14/2021,5.2639,N/A,5.0107,5.3724,5.2277
06/13/2021,5.0089,N/A,4.7357,5.1409,4.991
