Date,Close/Last,Volume,Open,High,Low
07/28/2021,0.81192,N/A,0.83769,0.82776,0.80676
07/27/2021,0.83532,N/A,0.7286,0.86611,0.83377
07/26/2021,0.73433,N/A,0.77304,0.74855,0.72413
07/25/2021,0.77477,N/A,0.67998,0.78491,0.72725
07/24/2021,0.71236,N/A,0.68532,0.71663,0.69429
07/23/2021,0.68124,N/A,0.65226,0.68942,0.67098
07/22/2021,0.65151,N/A,0.62633,0.66286,0.63974
07/21/2021,0.62724,N/A,0.59119,0.64454,0.62278
07/20/2021,0.58708,N/A,0.58332,0.58797,0.56916
07/19/2021,0.58325,N/A,0.66377,0.63063,0.58231
07/18/2021,0.66555,N/A,0.69183,0.67774,0.65865
07/17/2021,0.6904,N/A,0.65047,0.70687,0.67982
07/16/2021,0.65149,N/A,0.70336,0.66298,0.64316
07/15/2021,0.70031,N/A,0.72742,0.70615,0.67947
07/14/2021,0.72375,N/A,0.71991,0.74394,0.72104
07/13/2021,0.69907,N/A,0.77792,0.74987,0.69109
07/12/2021,0.78162,N/A,0.82909,0.78893,0.77774
07/11/2021,0.83497,N/A,0.78045,0.83497,0.82244
07/10/2021,0.77498,N/A,0.80452,0.7907,0.77473
07/09/2021,0.80413,N/A,0.78783,0.82803,0.8
07/08/2021,0.79628,N/A,0.87556,0.80992,0.77952
07/07/2021,0.85912,N/A,0.84924,0.88125,0.85122
07/06/2021,0.84759,N/A,0.84137,0.85113,0.8309
07/05/2021,0.84096,N/A,0.8249,0.8449,0.81381
07/04/2021,0.82282,N/A,0.83279,0.8402,0.81932
07/03/2021,0.83452,N/A,0.81385,0.83818,0.79312
07/02/2021,0.80768,N/A,0.77092,0.82264,0.80459
07/01/2021,0.76865,N/A,0.80507,0.80524,0.76865
06/30/2021,0.80533,N/A,0.8143,0.85814,0.80374
06/29/2021,0.81867,N/A,0.82171,0.86649,0.81664
06/28/2021,0.82135,N/A,0.79129,0.8355,0.80971
06/27/2021,0.78894,N/A,0.78773,0.79821,0.77858
06/26/2021,0.79066,N/A,0.76691,0.79166,0.76799
06/25/2021,0.7664,N/A,0.83618,0.77918,0.74741
06/24/2021,0.83361,N/A,0.75307,0.84983,0.82511
06/23/2021,0.74757,N/A,0.75975,0.79602,0.73921
06/22/2021,0.76048,N/A,0.78551,0.77566,0.67897
06/21/2021,0.78712,N/A,0.90369,0.79483,0.71063
06/20/2021,0.90359,N/A,0.94828,0.95636,0.90299
06/19/2021,0.95196,N/A,0.96535,0.95644,0.93973
06/18/2021,0.96294,N/A,1.07831,1.0071,0.95734
06/17/2021,1.07702,N/A,1.08666,1.0889,1.05449
06/16/2021,1.08712,N/A,1.09081,1.09089,1.05058
06/15/2021,1.09083,N/A,1.11471,1.10959,1.08014
06/14/2021,1.11733,N/A,1.068,1.13414,1.10378
06/13/2021,1.0583,N/A,1.00657,1.08954,1.05425
06/12/2021,1.00597,N/A,0.98957,1.05785,0.99231
06/11/2021,0.97403,N/A,1.1359,1.0268,0.96801
06/10/2021,1.13485,N/A,1.13392,1.14776,1.08442
06/09/2021,1.1394,N/A,1.09272,1.17384,1.13895
06/08/2021,1.10019,N/A,1.05571,1.13893,1.05875
06/07/2021,1.05286,N/A,1.27298,1.11373,1.01785
06/06/2021,1.27259,N/A,1.22501,1.29325,1.23338
06/05/2021,1.22227,N/A,1.32347,1.2344,1.19814
06/04/2021,1.33218,N/A,1.28172,1.33727,1.23548
06/03/2021,1.27999,N/A,1.33317,1.36817,1.25214
06/02/2021,1.33639,N/A,1.13713,1.34251,1.25119
06/01/2021,1.137,N/A,1.09896,1.15431,1.09383
05/31/2021,1.08875,N/A,0.99837,1.12325,1.08489
05/30/2021,0.9809,N/A,0.96826,1.04662,0.97792
05/29/2021,0.96569,N/A,1.06561,0.97176,0.91499
05/28/2021,1.07044,N/A,1.20192,1.0832,1.02789
05/27/2021,1.1854,N/A,1.15011,1.19662,1.14031
05/26/2021,1.13362,N/A,1.12325,1.27253,1.11887
05/25/2021,1.11578,N/A,1.0442,1.11766,1.05272
05/24/2021,1.04387,N/A,0.90726,1.11134,1.01083
05/23/2021,0.91154,N/A,1.01681,0.93063,0.86809
05/22/2021,1.01106,N/A,1.04541,1.05727,0.99319
05/21/2021,1.04831,N/A,1.30695,1.12546,1.03803
